Kebangsaan,Wilayah,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brunei  Darussalam,Asia,13668,49542,88221,104644,121576,140654,158916,182609,206064,223343
Malaysia,Asia,1041053,2212790,3386141,4655230,6035916,7454172,8885900,10427097,12548985,15052329
Filipina,Asia,196429,367610,577639,814505,1062078,1310260,1577960,1876870,2185847,2403721
Singapura,Asia,1138071,2344431,3669270,4993976,6426036,7985080,9579182,11094883,12649002,14417746
Thailand,Asia,93381,205026,320062,434929,559988,674260,792839,917408,1055643,1179796
Vietnam,Asia,20785,45714,76820,110418,153667,201685,251530,312514,389980,465796
Hongkong,Asia,63801,137459,222444,304226,399484,494044,587573,688942,787214,878396
India,Asia,156545,315918,497709,694692,925958,1193040,1500000,1922045,2458947,3054583
Jepang,Asia,488320,904471,1327584,1791070,2288469,2793644,3322250,3867642,4440952,4971525
Korea Selatan,Asia,260314,556374,876970,1205959,1557113,1909117,2284703,2671492,3094683,3453568
Pakistan,Asia,5880,11652,18250,23580,29861,36918,44488,54586,66010,79458
Bangladesh,Asia,6347,11904,18298,24296,32428,46319,62109,101135,157638,214202
Srilanka,Asia,6715,12910,19929,28715,37003,45763,56953,81209,116878,149386
Taiwan,Asia,204794,418986,647908,865616,1112762,1333090,1556568,1809417,2073695,2282012
Tiongkok,Asia,444598,955786,1550783,2276871,3135011,4187716,5436807,6993578,9086749,11225910
Australia,Oseania,571541,1341126,2274502,3227219,4211130,5356706,6446731,7749023,9005950,10307428
Selandia Baru,Oseania,37704,83039,135497,195103,262955,342335,428944,534335,641249,769615
"Negara Asia Pasifik
  Lainnya",Oseania,167137,469687,786804,1119948,1462975,1784657,2412377,3009606,4481890,4481890
"Amerika
  Serikat",Amerika,165098,342775,545980,763579,999954,1246351,1515413,1832195,2176961,2564817
Kanada,Amerika,43948,92297,149426,207671,273056,341488,415700,502504,598643,696551
"Amerika
  Lainnya",Amerika,28624,58063,91035,127716,169529,215920,274580,346976,443102,525736
Austria,Eropa,17399,34288,51662,70782,92427,113026,135484,159859,187067,216559
Belgia,Eropa,25781,50274,74853,103096,137510,171111,209304,252911,301388,351438
Denmark,Eropa,20062,37627,57577,78745,101635,124212,151904,188284,232005,278830
Perancis,Eropa,165656,326569,498305,682578,884495,1093032,1301711,1557940,1832057,2119974
Jerman,Eropa,133032,277443,426553,584765,758235,942698,1143900,1387773,1655596,1929762
Italia,Eropa,38028,77239,119495,166146,222851,285116,353008,432432,522454,616742
Belanda,Eropa,154932,313889,477157,629906,791308,959802,1132173,1332984,1543410,1753388
Spanyol,Eropa,28200,58774,89431,124422,163805,211181,264296,333136,414826,500386
Portugal,Eropa,11331,22960,36621,52027,70221,87896,109928,139214,172437,209241
Swedia,Eropa,22166,46769,73273,99370,128651,160959,198514,244448,295865,346246
Norwegia,Eropa,16261,32487,50290,67408,85582,102835,121361,140839,163677,188583
Finlandia,Eropa,15591,27157,40294,55329,70403,85735,104299,125330,149777,176904
Swiss,Eropa,39510,74844,113548,151304,195210,240777,292462,349162,410353,470646
Inggris,Eropa,183262,375597,576818,796544,1033338,1277932,1564738,1916755,2294886,2686998
Rusia,Eropa,77018,160854,257292,356740,456612,550957,623259,711779,829311,955039
Eropa Lainnya,Eropa,80176,160177,244650,342736,454712,577278,717671,918311,1160263,1375547
Negara Lainnya di Timur Tengah dan Afrika,Timur Tengah & Afrika,140572,312166,507314,689006,919052,1180641,1473647,1841234,2216802,2572591
